Cluster 1,Cluster 2
988.7310847504195,988.6487916928869
6.705430488867061,6.544327900502338
280.7791908568596,280.6242378214627
3.325735532012496,3.0888310524687523
81.39716630408093,81.03655630339965
11.48653334706441,11.461776087721775
8.607717346995779,8.506014069183312
2.878754725401118,2.955709059103438
5.4385230573827466,5.3744451259186015
8.708248737390369,8.60589060383384
1227.8926103523263,1228.6194824055278
2.014848894438494,2.0343832599119103
3.3168510055825626,3.3479827948502043
171.41024381138675,171.46284236968077
